categories,description,price
"Sports And Energy Drinks","PnP Orange Flavoured Drink 300ml x6","R
                39
                
                    99"
"Chicken","Pnp 4 Drums & 4 Thighs","R
                26
                
                    25
                     (Average)"
"Coffee Tea And Creamers","Nescafe Dolce Gusto Coffee Cappuccino 20...","R
                89
                
                    99"
"Cooking Oil","PnP Extra Virgin Olive Oil 1 Litre x12","R
                1318
                
                    80"
"Prepacked Meats","Enterprise Ham Selection 250g","R
                39
                
                    99"
"Powdered Drinks","Amila Fruit Cocktail Flavour 60g","R
                6
                
                    49"
"Iced Tea and Coffee","Roses Rtd Ice Tea Lime 275ml","R
                10
                
                    49"
"Maize","Iwisa Super Maize Meal 5 KG","R
                52
                
                    95"
"Carbonated Fruit Juice","Ceres Sparkling 100% White Grape Juice27...","R
                68
                
                    99"
"Fruit","PnP Cling Peaches Loose Sell","R
                39
                
                    99
                     (per kg)"
"Ice Cream","Ola Rich'n Cream Vanilla IceCream 2 ...","R
                49
                
                    99"
"Sauces & Condiments","Old El Paso Meal Kit Nacho 520g","R
                84
                
                    99"
